id,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,contract
825,USDT,Tether_USDt,1.0000321188082268,163911109958.2714,163905845497.8526,167785387638.62183,,0xdac17f958d2ee523a2206206994597c13d831ec7
3408,USDC,USDC,0.9998173021828812,64198251643.69959,64209982667.37016,64209982667.37016,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
1975,LINK,Chainlink,16.63753785105554,11281913925.207882,678099970.4527867,1000000000.0,,0x514910771af9ca656af840dff83e8264ecf986ca
29470,USDe,Ethena_USDe,1.0006893011478433,9418447668.409794,9411959993.582762,9411959993.582762,,0x4c9edd5852cd905f086c759e8383e09bff1e68b3
3957,LEO,UNUS_SED_LEO,8.976624229044463,8285802078.390419,923042099.9,985239504.0,,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
5994,SHIB,Shiba_Inu,1.2294474038491343e-05,7244472277.256346,589246213752249.0,589500993074106.1,589552695333683.0,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
7083,UNI,Uniswap,9.3629091636011,5886833978.653119,628739836.71,1000000000.0,,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
4943,DAI,Dai,0.9997740409327334,5364170345.79385,5365382702.664872,5365382702.664872,,0x6b175474e89094c44da98b954eedeac495271d0f
11092,BGB,Bitget_Token,4.31470544560534,4918729845.584408,1139992035.9787908,1139992036.1,1139992036.1,0x54D2252757e1672EEaD234D27B1270728fF90581
24478,PEPE,Pepe,1.0433654830704204e-05,4389333203.748662,420689899653543.6,420689899653543.6,420690000000000.0,0x6982508145454ce325ddbe47a25d4ec3d2311933
7278,AAVE,Aave,262.79739027722366,3996909813.14693,15209092.48349312,16000000.0,,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9
30171,ENA,Ethena,0.6140129376384921,3901860339.649605,6354687500.0,15000000000.0,15000000000.0,0x57e114B691Db790C35207b2e685D4A43181e6061
21159,ONDO,Ondo,0.92546527638573,2923644322.4582253,3159107529.0,10000000000.0,,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3
3897,OKB,OKB,46.30781563156583,2778468937.89395,60000000.0,300000000.0,,0x75231f58b43240c9718dd58b4967c5114342a86c
27075,MNT,Mantle,0.7270766045770779,2447190351.577612,3365794382.836841,6219316794.99,6219316795.0,0x3c3a81e81dc49a522a592e7622a7e711c06bf354
36148,USD1,World_Liberty_Financial_USD,0.9994656243563592,2166256817.63221,2167415031.434669,2167415031.434669,,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d
23095,BONK,Bonk,2.661911557084352e-05,2145358445.7921531,80594655373975.31,88295385003064.11,88872433754423.19,0x1151CB3d861920e07a38e03eEAd12C32178567F6
28321,POL,POL_(prev._MATIC),0.202205514381487,2117919458.0578184,10474093471.368378,10474093471.368378,,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6
4269,GT,GateToken,16.794243240778183,2064190311.739072,122910588.0,133600000.0,300000000.0,0xe66747a101bff2dba3697199dcce5b743b454759
5690,RENDER,Render,3.5539158267704187,1841386032.6541984,518128769.0562826,532888942.3362826,644168762.0,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
13502,WLD,Worldcoin,0.9808983703983284,1795131555.040786,1830089241.8771267,10000000000.0,,0x163f8c2467924be0ae7b5347228cabf260318753
33038,SKY,Sky,0.0794539643601927,1687955379.2820947,21244445042.792336,23462665147.365967,,0x56072C95FAA701256059aa122697B133aDEd9279
28081,SPX,SPX6900,1.6445362204024412,1531051857.5645075,930993090.07,930993090.07,1000000000.0,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c
26081,FDUSD,First_Digital_USD,0.9979194434005288,1449444014.5783076,1452465952.200666,1452465952.200666,,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409
3155,QNT,Quant,110.77888221195477,1337404420.8777902,12072738.0,14881364.0,14881364.0,0x4a220e6096b25eadb88358cb44068a3248254675
2087,KCS,KuCoin_Token,10.474838749954571,1334724209.087463,127421933.73556717,142421933.73556715,200000000.0,0xf34960d9d60be18cc1d5afc1a6f012a723a28811
7226,INJ,Injective,13.159746829739175,1315592200.3278074,99970935.41,100000000.0,,0xe28b3b32b6c345a34ff64674606124dd5aceca30
6538,CRV,Curve_DAO_Token,0.913972554249111,1251524922.6065376,1369324403.4387317,2290739169.101943,3030303030.299,0xD533a949740bb3306d119CC777fa900bA034cd52
10804,FLOKI,FLOKI,0.0001098169601562,1047708244.0392938,9540495771770.557,9658963264690.008,,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e
27772,PYUSD,PayPal_USD,0.9995855990907844,1008973174.4705008,1009391467.212268,1009391467.212268,,0x6c3ea9036406852006290770bedfcaba0e23a0e8
6719,GRT,The_Graph,0.0921163959739658,959650268.391853,10417800851.252058,11317845701.585182,,0xc944e90c64b2c07662a292be6244bdf05cda44a7
4705,PAXG,PAX_Gold,3360.436237433614,952280585.6253132,283380.049,283380.049,,0x45804880de22913dafe09f4980848ece6ecbaf78
13855,ENS,Ethereum_Name_Service,26.03187679952164,952159779.8816617,36576685.85382819,100000000.0,,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72
10603,IMX,Immutable,0.5017377275670003,948737699.5912555,1890903648.389814,2000000000.0,2000000000.0,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff
7186,CAKE,PancakeSwap,2.58801659964849,891564239.5253283,344497110.1214816,364084938.733956,450000000.0,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898
2694,NEXO,Nexo,1.3162149427539842,850466809.2465187,646145839.5746847,1000000000.0,1000000000.0,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
8000,LDO,Lido_DAO,0.9287404027771352,832995546.2809924,896908914.256508,1000000000.0,,0x5a98fcbea516cf06857215779fd812ca3bef1b32
5176,XAUt,Tether_Gold,3355.9072121876934,827311669.577359,246524.0,246524.0,,0x68749665FF8D2d112Fa859AA293F07A622782F38
29420,VIRTUAL,Virtuals_Protocol,1.2088053761571815,792156759.1952001,655322002.0525419,1000000000.0,1000000000.0,0x44ff8620b8cA30902395A7bD3F2407e1A091BF73
8425,JASMY,JasmyCoin,0.0151509104518449,749136762.4002979,49444999677.16958,50000000000.0,50000000000.0,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC
7080,GALA,Gala,0.0153700612564714,699504665.1410729,45510857339.39763,45510857339.39763,50000000000.0,0xd1d2Eb1B1e90B638588728b4130137D262C87cae
6210,SAND,The_Sandbox,0.2661797211858163,684957399.1841191,2573289190.2233224,3000000000.0,,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
9481,PENDLE,Pendle,4.020073510369394,666557241.1806701,165807227.02242875,281527448.45853144,,0x808507121b80c02388fad14726482e061b8da827
7326,DEXE,DeXe,7.5761610763211475,634377920.8906928,83733425.74162056,96504599.33609451,,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
34104,MORPHO,Morpho,1.7650339446782273,570356945.099887,323142196.114458,1000000000.0,1000000000.0,0x58D97B57BB95320F9a05dC918Aef65434969c2B2
19891,USDD,USDD,0.9993659173121034,559974025.878033,560329321.0,560329321.0,,0x3D7975EcCFc61a2102b08925CbBa0a4D4dBB6555
1966,MANA,Decentraland,0.2802167240808567,551951010.6125609,1969729010.368757,2193179327.320146,,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
33824,SYRUP,Maple_Finance,0.4374367087785035,522484896.4979771,1194423984.1163807,1200275708.54902,,0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66
18679,XCN,Onyxcoin,0.0144313896536218,494418297.233728,34259922925.0,48402437326.0,48402437326.0,0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18
2563,TUSD,TrueUSD,0.996589762945872,492828669.3401281,494515083.0,494515083.0,,0x0000000000085d4780B73119b644AE5ecd22b376
